/*
 *
 *  Dados fornecidos pela Iplam (Instituto de pesquisa e planejamento urbano)
 *  da cidade de Ponta Grossa Paraná Brasil.
 *
 */
wkt_geom,id,LOGRADOURO,LOTEAMENTO,BAIRRO,KM,TIPO_EQUI,COOR X,COOR Y
Point (-50.14004086734234988 -25.15224963290565796),,Avenida Presidente Kennedy,,Cara-Cara,,Viaduto Linha Ferrea,-501400408673,-251522496329
Point (-50.09323309477554886 -25.18214613051194561),,BR 376,Industrial,Cara-Cara,,Viaduto,-500932330948,-251821461305
Point (-50.08331525263641737 -25.18919271899548917),,BR 376,,Cara-Cara,,Viaduto Linha Ferrea,-500833152526,-25189192719
Point (-50.07574150803397117 -25.19639474497923004),,Avenida Presitente Kennedy,,Cara-Cara,,Viaduto,-50075741508,-25196394745
Point (-50.05196208563668847 -25.22250562280104091),,Avenida Presitente Kennedy,,Cara-Cara,,Viaduto,-500519620856,-252225056228
Point (-50.14735007252537713 -25.18013147508147043),,Rua Newton Slaviero,Alvorada,Cara-Cara,,Viaduto Linha Ferrea,-501473500725,-251801314751
Point (-50.12461068162308919 -25.07552839819337365),,Rua Almirante Barroso,Conceição,Neves,40 km,Controlador de Velocidade,-501246106816,-250755283982
Point (-50.19288204852032464 -25.07616360812420808),,Avenida Ernesto Vilela,,Chapada,,Rotatoria,-501928820485,-250761636081
Point (-50.15804220816779946 -25.12041225411530831),,Rua Franco Grilo,Ferroviaria,Oficinas,,Rotatoria,-501580422082,-251204122541
Point (-50.10648124679278226 -25.07148785250223),,Estrada Arichermes Carlos Gobbo,San Martin,Uvaranas,,Trincheira,-501064812468,-250714878525
Point (-50.10957616787804625 -25.06856670698925527),,,Lagoa Dourada,Uvaranas,,Viaduto Linha Ferrea,-501095761679,-25068566707
Point (-50.10803154389631686 -25.06743068492326287),,,Londres,Uvaranas,,Viaduto Linha Ferrea,-501080315439,-250674306849
Point (-50.10835061321905215 -25.07939361354159757),,Rua Valerio Ronchi,Tropeiros,Uvaranas,,Viaduto Linha Ferrea,-501083506132,-250793936135
Point (-50.10890526069879058 -25.09002004162583788),,Avenida General Carlos Cavalcanti,,Uvaranas,,Viaduto Linha Ferrea,-501089052607,-250900200416
Point (-50.09211421350732962 -25.1020120632119017),,Rua Maria Angela Caldas,Paraiso,Uvaranas,,Cruzamento Linha Ferrea,-500921142135,-251020120632
Point (-50.09337032210365237 -25.09974806100220235),,Rua Decio Vargani,Paraiso,Uvaranas,,Cruzamento Linha Ferrea,-500933703221,-25099748061
Point (-50.22545909823216448 -25.05656901647804702),,Avenida Souza Naves,Borato,Chapada,60,Controlador de Velocidade,-502254590982,-250565690165
Point (-50.1379286590510489 -25.17692909113073441),,Rua Saul Moreira Macedo,Alvorada,Cara-Cara,,Cruzamento Linha Ferrea,-501379286591,-251769290911
Point (-50.12016937525574178 -25.10923468987235907),,Arnaldo Jansen,São Vicente de Paulo,Uvaranas,,Rotatoria,-501201693753,-251092346899
Point (-50.12033581962437978 -25.11447076612734719),,Siqueira Campos,Pinheiros,Cara-Cara,,Rotatoria,-501203358196,-251144707661
Point (-50.17906995629486744 -25.10530572843687835),,Rua Cardoso Fontes,Ronda Municipal,Ronda,,Rotatoria,-501790699563,-251053057284
Point (-50.18686809658692738 -25.10296593223245765),,RUa Baltazar Lisboa,Auto Estrada,Ronda,,Rotatoria,-501868680966,-251029659322
Point (-50.14785842601215649 -25.19112363743771255),,Rua Newton Slavieiro,,Cara-Cara,,Rotatoria,-50147858426,-251911236374
Point (-50.15108553949626469 -25.20003232515484726),,Rua Newton Slavieiro,,Cara-Cara,,Ponte,-501510855395,-252000323252
Point (-50.14848433423620122 -25.07080102454973769),,Avenida Monteiro Lobato,Carvalho II,Jardim Carvalho,,Rotatoria,-501484843342,-250708010245
Point (-50.20325352905193483 -25.0590355222259511),,Rua Irmã Paula Tramani,América,Chapada,,Rotatoria,-502032535291,-250590355222
Point (-50.20405599347462555 -25.06242427986862609),,Rua Pegasus,,Chapada,,Rotatoria,-502040559935,-250624242799
Point (-50.21153134898587922 -25.07048456109115975),,Avenida Souza Naves,Café,Chapada,,Passarela,-50211531349,-250704845611
Point (-50.20139984165237479 -25.08051300667268535),,Avenida Souza Naves,Santana do Sabara,Chapada,,Passarela,-502013998417,-250805130067
Point (-50.19720992961064354 -25.09817164056405403),,Avenida Souza Naves,Raquel,Contorno,,Passarela,-501972099296,-250981716406
Point (-50.15324660605340057 -25.09408571955312794),,Avenida Vicente Machado,Centro,Centro,,Passarela,-501532466061,-250940857196
Point (-50.15143071061949342 -25.09226887325443656),,Avenida Bispo Dom Geraldo Pellanda,Centro,Centro,,Passarela,-501514307106,-250922688733
Point (-50.17209889396171718 -25.09670051841622396),,Avenida Visconde de Taunay,Ronda D,Ronda,,Faixa Elevada,-50172098894,-250967005184
Point (-50.16571631167158785 -25.10607528324999649),,Rua Joaquim de Paula Xavier,Estrela,Estrela,,Faixa Elevada,-501657163117,-251060752832
Point (-50.15650234627558746 -25.11510446962387988),,Rua Emilio de Menezes,,Oficinas,,Faixa Elevada,-501565023463,-251151044696
Point (-50.15947919375782504 -25.1003676379646592),,Rua Augusto Ribas,Centro,Centro,,Faixa Elevada,-501594791938,-25100367638
Point (-50.16102158086778218 -25.09150588354439293),,Rua Coronel Bittencourt,Centro,Centro,,Faixa Elevada,-501610215809,-250915058835
Point (-50.16478598699974611 -25.09413617321966328),,Avenida Visconde de Taunay,Centro,Centro,,Faixa Elevada,-50164785987,-250941361732
Point (-50.15918993460813624 -25.10771430472073362),,Rua Silva Jardim,Eleutório,Oficinas,,Faixa Elevada,-501591899346,-251077143047
Point (-50.15989308594409124 -25.09357530902352451),,Rua Senador Pinheiro Machado,Centro,Centro,,Faixa Elevada,-501598930859,-25093575309
Point (-50.15844657646347571 -25.11253028401539211),,Emilio de Menezes,,Oficinas,,Faixa Elevada,-501584465765,-25112530284
Point (-50.14404853760071035 -25.09085324943163542),,Avenida Carlos Cavalcanti,Rio Branco,Uvaranas,,Faixa Elevada,-501440485376,-250908532494
Point (-50.13789024471204669 -25.11116058809039231),,Rua California,Sant'Ana,Olarias,,Ponte,-501378902447,-251111605881
Point (-50.12546827673439509 -25.05854518602226477),,Rua Rio Cavernoso,,Neves,,Viaduto Linha Férrea,-501254682767,-25058545186
Point (-50.13262262532172286 -25.03868951883116267),,Avenida Senador Flavio Carvalho Guimaraes,,Jardim Carvalho,,Ponte,-501326226253,-250386895188
Point (-50.13575121944528235 -25.05918583109517783),,Avenida Monteiro Lobato,Barauna,Jardim Carvalho,,Cruzamento Linha Ferrea,-501357512194,-250591858311
Point (-50.14797315203353634 -25.06253481142933026),,Justina Borato,MEzzomo,Jardim Carvalho,,Cruzamento Linha Ferrea,-50147973152,-250625348114
Point (-50.15871651113243246 -25.06450689730929682),,Avenida Anita Garibaldi,Liane,Orfas,,Cruzamento Linha Ferrea,-501587165111,-250645068973
Point (-50.16264509330101617 -25.06630991319288171),,Rua Luiz Oliveira e Silva,Margarida,Orfans,,Cruzamento Linha Ferrea,-501626450933,-250663099132
Point (-50.17253123456009689 -25.07075119596368751),,Rua Bento Ribeiro,Palmeirinha,Nova Russia,,Viaduto Linha Ferrea,-501725312346,-25070751196
Point (-50.17364898421629249 -25.07057167934445374),,Rua Francisco Otaviano,Palmeirinha,Nova russia,,Viaduto Linha Ferrea,-501736489842,-250705716793
Point (-50.18242842496643163 -25.07632492511908495),,Ria Visconde de Sinimbu,Estrela Aurora,Nova Russia,,Cruzamento Linha Ferrea,-50182428425,-250763249251
Point (-50.18675419254429215 -25.07715899419797623),,Rua Jesuino Manoel de Almeida,Boa Vista,Boa Vista,,Viaduto Linha Ferrea,-501867541925,-250771589942
Point (-50.19235728954613762 -25.07682042478435847),,Rua Toledo,Boa Vista,Boa Vista,,Viaduto Linha Ferrea,-501923572895,-250768204248
Point (-50.20439842928825414 -25.07671596717303331),,,Bonsucesso,Chapada,,Cruzamento Linha Ferrea,-502043984293,-250767159672
Point (-50.21055731109846221 -25.0711951109500859),,Avenida Congonhas,Congonhas,Chapada,,Cruzamento Linha Ferrea,-502105573111,-25071195111
Point (-50.21395605523653671 -25.06110866339732013),,,,Chapada,,Cruzamento Linha Ferrea,-502139560552,-250611086634
Point (-50.22575850235870121 -25.05615556434090152),,Travessa,Borato,Piriquitos,,Cruzamento Linha Ferrea,-502257585024,-250561555643
Point (-50.24863827004914185 -25.03930986404064285),,,Piriquitos,Piriquitos,,Cruzamento Linha Ferrea,-5024863827,-25039309864
Point (-50.28077653047355255 -25.04005864898337208),,,,Piriquitos,,Viaduto,-502807765305,-25040058649
Point (-50.16579806926547747 -25.09399631588062363),,Avenida Visconde de Taunay,Centro,Centro,,Semafaro,-501657980693,-250939963159
Point (-50.16383864115677937 -25.09549792087721798),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-501638386412,-250954979209
